finished data load
2051
(789, 68) (789, 68) (789, 68)
best result :-0.026
best result :-0.031
best result :-0.026
best result :0.002
best result :-0.014
best result :-0.002
best result :0.007
best result :-0.011
best result :-0.006
best result :0.010
best result :-0.030
best result :-0.041
best result :-0.010
best result :-0.038
best result :-0.039
best result :0.011
best result :0.014
best result :-0.017
best result :0.005
best result :-0.023
best result :-0.001
best result :0.005
best result :0.023
best result :0.006
best result :-0.001
best result :0.040
best result :-0.017
best result :-0.033
best result :0.034
best result :0.074
best result :-0.040
best result :-0.014
best result :0.098
best result :0.005
best result :0.008
best result :-0.228
best result :-0.023
best result :-0.040
best result :-0.011
best result :-0.078
best result :-0.056
best result :-0.002
best result :-0.003
best result :-0.031
best result :-0.012
best result :-0.028
best result :-0.002
best result :-0.004
best result :-0.005
best result :-0.011
best result :-0.002
best result :-0.010
best result :-0.015
best result :-0.019
best result :-0.093
best result :-0.016
best result :0.011
best result :-0.037
best result :-0.184
best result :-0.033
best result :0.005
best result :-0.021
best result :0.049
best result :0.020
best result :0.017
best result :-0.007
best result :0.022
best result :0.037
best result :0.047
best result :0.007
best result :-0.079
best result :0.051
best result :-0.004
best result :-0.052
best result :0.005
best result :-0.005
best result :0.037
best result :0.020
best result :0.065
best result :0.054
best result :0.010
best result :-0.003
best result :-0.001
best result :0.052
best result :0.082
best result :0.100
best result :-0.041
best result :-0.004
best result :0.011
best result :0.000
best result :-0.010
