finished data load
2051
(789, 68) (789, 68) (789, 68)
best result :-0.018
best result :-0.380
best result :-0.075
best result :-0.016
best result :-0.001
best result :-0.013
best result :0.018
best result :-0.005
best result :-0.011
best result :0.043
best result :-0.013
best result :0.008
best result :-0.004
best result :0.028
best result :0.005
best result :-0.046
best result :-0.025
best result :-0.005
best result :-0.043
best result :-0.006
best result :-0.070
best result :0.008
best result :-0.009
best result :-0.004
best result :-0.045
best result :-0.010
best result :-0.005
best result :0.029
best result :-0.002
best result :-0.117
best result :-0.013
best result :0.001
best result :-0.059
best result :-0.001
best result :0.010
best result :-0.119
best result :-0.025
best result :-0.005
best result :-0.017
best result :-0.164
best result :-0.006
best result :-0.038
best result :-0.018
best result :-0.112
best result :-0.020
best result :-0.007
best result :0.005
best result :-0.094
best result :-0.010
best result :-0.051
best result :-0.061
best result :-0.058
best result :-0.048
best result :-0.046
best result :-0.001
best result :-0.006
best result :-0.006
best result :-0.006
best result :-0.008
best result :-0.191
best result :-0.049
best result :-0.008
best result :-0.006
best result :-0.004
best result :-0.010
best result :-0.022
best result :-0.001
best result :-0.234
best result :-0.016
best result :-0.015
best result :-0.014
best result :0.017
best result :-0.017
best result :-0.007
best result :-0.008
best result :-0.003
best result :0.003
best result :0.014
best result :-0.012
best result :0.011
best result :-0.012
best result :-0.006
best result :0.014
best result :-0.005
best result :0.032
best result :-0.005
best result :-0.003
best result :-0.663
best result :-0.025
best result :-0.019
best result :-0.005
best result :-0.012
best result :-0.009
best result :-0.061
best result :-0.016
best result :-0.007
best result :-0.033
best result :-0.071
best result :-0.004
best result :0.028
best result :0.005
best result :0.025
best result :-0.012
best result :-0.072
best result :-0.002
best result :-0.006
best result :-0.060
best result :-0.052
best result :-0.025
best result :-0.013
best result :-0.012
best result :-0.004
best result :0.019
best result :-0.005
best result :-0.007
best result :-0.010
best result :0.031
best result :-0.037
best result :-0.023
best result :-0.011
best result :-0.017
best result :0.000
best result :-0.062
best result :-0.024
best result :-0.009
best result :-0.003
best result :-0.041
best result :-0.569
best result :-0.011
best result :-0.014
best result :-0.049
best result :0.006
best result :-0.010
best result :-0.004
best result :-0.043
best result :-0.045
best result :-0.008
best result :-0.018
best result :0.004
best result :-0.008
best result :-0.008
best result :-0.001
best result :-0.001
best result :-0.004
best result :-0.006
best result :-0.011
best result :-0.005
best result :-0.011
best result :-0.003
best result :-0.157
best result :-0.005
best result :-0.005
best result :-0.009
best result :0.004
best result :-0.011
best result :-0.009
best result :-0.019
best result :0.001
best result :-0.001
best result :-0.009
best result :-0.010
best result :-0.005
best result :0.011
best result :-0.002
best result :-0.003
best result :-0.006
best result :-0.022
best result :-0.023
best result :-0.002
best result :-0.024
best result :-0.023
best result :-0.003
best result :-0.025
best result :-0.001
best result :0.005
best result :-0.009
best result :-0.010
best result :-0.015
best result :-0.015
best result :-0.010
best result :-0.001
best result :-0.358
best result :-0.013
best result :-0.009
best result :0.002
best result :-0.011
best result :-0.000
best result :-0.009
best result :-0.020
best result :-0.228
best result :-0.007
best result :-0.007
best result :-0.019
best result :0.002
best result :-0.007
best result :-0.004
best result :-0.011
best result :0.022
best result :-0.180
best result :-0.003
best result :-0.024
best result :-0.016
best result :-0.007
best result :-0.010
best result :-0.004
best result :-0.011
best result :-0.011
best result :-0.001
best result :-0.009
best result :-0.014
best result :-0.819
best result :-0.007
best result :-0.019
best result :-0.005
best result :-0.037
best result :-0.007
best result :-0.006
best result :-0.009
best result :-0.005
best result :0.005
best result :-0.139
best result :-0.041
best result :0.000
best result :-0.021
best result :0.013
best result :-0.027
best result :-0.050
best result :-0.005
best result :-0.009
best result :-0.030
best result :0.017
best result :0.010
best result :-0.004
best result :0.001
best result :-0.032
best result :-0.034
best result :-0.016
best result :-0.104
best result :-0.062
best result :-0.028
best result :-0.002
best result :-0.008
best result :0.033
best result :-0.020
best result :-0.090
best result :-0.012
best result :0.015
best result :-0.006
best result :-0.013
best result :-0.017
best result :-0.011
best result :-0.395
best result :-0.040
best result :-0.120
best result :-0.028
best result :-0.006
best result :-0.038
best result :-0.009
best result :-0.002
best result :-0.037
best result :0.002
best result :-0.033
best result :0.012
best result :-0.016
best result :-0.027
best result :-0.143
best result :-0.034
best result :-0.011
best result :-0.002
best result :-0.007
best result :-0.005
best result :-0.005
best result :-0.012
best result :-0.016
best result :-0.011
best result :-0.011
best result :-0.032
best result :-0.054
best result :-0.015
best result :-0.005
best result :-0.015
best result :-0.074
best result :-0.038
best result :-0.079
best result :-0.015
best result :-0.046
best result :0.012
best result :-0.012
best result :-0.018
best result :-0.000
best result :-0.025
best result :-0.007
best result :-0.036
best result :-0.019
best result :-0.001
best result :-0.026
best result :-0.000
best result :-0.004
best result :-0.009
best result :-0.092
best result :-0.008
best result :-0.020
best result :0.017
best result :-0.000
best result :-0.009
best result :-0.028
best result :-0.007
best result :-0.026
best result :-0.031
best result :-0.009
best result :-0.008
best result :0.025
best result :-0.011
best result :0.008
best result :-0.008
best result :-0.076
best result :-0.022
best result :-0.012
best result :0.008
best result :-0.013
best result :-0.035
best result :-0.002
best result :0.007
best result :-0.030
best result :-0.018
best result :-0.001
best result :0.027
best result :0.030
best result :-0.074
best result :-0.012
best result :-0.012
best result :-0.016
best result :-0.002
best result :-0.009
best result :-0.010
best result :-0.045
best result :0.030
best result :-0.017
best result :0.013
best result :-0.007
best result :-0.026
best result :-0.008
best result :-0.002
